id,project,label,identifier,enabled,data,modularClassTags,geometryObjects,nodeObject_to,nodeObject_from
584,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_787288,True,{'Length': 4.546875},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/424/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]","[{'name': 'host', 'nodeObject_from': 781}]"
585,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_787289,True,{'Length': 2.3020833333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/425/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]",[]
586,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_787290,True,{'Length': 2.46875},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/426/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]",[]
587,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_787291,True,{'Length': 2.203125},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/427/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]",[]
588,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_787292,True,{'Length': 3.6041666667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/428/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]",[]
589,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_787293,True,{'Length': 2.46875},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/429/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]",[]
590,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_787294,True,{'Length': 1.40625},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/430/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]",[]
591,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_787295,True,{'Length': 2.6354166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/431/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]",[]
592,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_787297,True,{'Length': 2.3697916667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/432/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]",[]
593,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_787327,True,{'Length': 3.6041666667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/433/?format=json'],"[{'name': 'level', 'nodeObject_to': 378}]",[]
594,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_788069,True,{'Length': 6.5104166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/434/?format=json'],"[{'name': 'level', 'nodeObject_to': 374}]","[{'name': 'host', 'nodeObject_from': 732}]"
595,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_789740,True,{'Length': 7.875},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/435/?format=json'],"[{'name': 'level', 'nodeObject_to': 382}]","[{'name': 'host', 'nodeObject_from': 733}]"
596,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_789849,True,{'Length': 14.2083333333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/436/?format=json'],"[{'name': 'level', 'nodeObject_to': 382}]","[{'name': 'host', 'nodeObject_from': 734}, {'name': 'host', 'nodeObject_from': 735}]"
597,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_789945,True,{'Length': 10.03125},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/437/?format=json'],"[{'name': 'level', 'nodeObject_to': 382}]",[]
598,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_792316,True,{'Length': 16.4124609726},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/438/?format=json'],"[{'name': 'level', 'nodeObject_to': 382}]","[{'name': 'host', 'nodeObject_from': 736}]"
599,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_796396,True,{'Length': 6.6302083333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/439/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
600,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_797941,True,{'Length': 4.3697916667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/440/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
601,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_797974,True,{'Length': 4.3697916667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/441/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
602,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_798132,True,{'Length': 12.4739583333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/442/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
603,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_798133,True,{'Length': 2.6979166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/443/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
604,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_800260,True,{'Length': 3.3541666667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/444/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
605,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_800261,True,{'Length': 3.3541666667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/445/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
606,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_807787,True,{'Length': 5.3697916667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/446/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]","[{'name': 'host', 'nodeObject_from': 742}]"
607,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_808244,True,{'Length': 4.5416666667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/447/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
608,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_808247,True,{'Length': 4.5416666667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/448/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
609,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_808252,True,{'Length': 2.1145833333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/449/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
610,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_809458,True,{'Length': 8.8229166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/450/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
611,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_809636,True,{'Length': 9.7395833333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/451/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
612,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_809639,True,{'Length': 3.2604166667},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/452/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]",[]
613,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_811538,True,{'Length': 14.1614583333},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/453/?format=json'],"[{'name': 'level', 'nodeObject_to': 374}]","[{'name': 'host', 'nodeObject_from': 743}]"
614,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_827539,True,{'Length': 22.5},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/454/?format=json'],"[{'name': 'level', 'nodeObject_to': 374}]",[]
615,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_831926,True,{'Length': 6.0},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/455/?format=json'],"[{'name': 'level', 'nodeObject_to': 376}]","[{'name': 'host', 'nodeObject_from': 744}]"
616,snowdontowers,wall,46ec4172-06ee-4490-8b81-5cb4f0c7c011_836917,True,{'Length': 9.125},['wall'],['https://archmanucox.pythonanywhere.com/bimverse/geometries/456/?format=json'],"[{'name': 'level', 'nodeObject_to': 383}]",[]
